"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"22","Mo Bamba","C","24","TOT","49","769",".485","15.1",NA,".485",".320",".104",".033",".029",".515",NA,".590",".740",".240",".500",".286",".387",NA,".754","1.000",NA,".178","36",NA,".113",".357",NA,"0","0"
"22","Mo Bamba","C","24","ORL","40","681",".495","14.9",NA,".495",".322",".103",".037",".033",".505",NA,".594",".739",".273",".500",".286",".398",NA,".762","1.000",NA,".187","33",NA,".120",".385",NA,"0","0"
"22","Mo Bamba","C","24","LAL","9","88",".407","16.1",NA,".407",".296",".111",".000",".000",".593",NA,".545",".750",".000","","",".313",NA,".667","1.000",NA,".111","3",NA,".063",".000",NA,"0","0"
"23","Paolo Banchero","PF","20","ORL","72","2430",".427","12.4",NA,".746",".242",".253",".124",".127",".254",NA,".471",".658",".380",".410",".352",".298",NA,".404",".706",NA,".054","52",NA,".123",".343",NA,"1","0"
"24","Desmond Bane","SG","24","MEM","58","1841",".479","14.8",NA,".567",".229",".210",".071",".056",".433",NA,".534",".642",".447",".478",".491",".408",NA,".521",".729",NA,".007","6",NA,".150",".508",NA,"2","0"
"25","Dalano Banton","PG","23","TOR","31","279",".423","14.3",NA,".608",".277",".177",".077",".077",".392",NA,".506",".806",".348",".200",".100",".294",NA,".575",".867",NA,".062","8",NA,".235",".250",NA,"1","0"
"26","Dominick Barlow","PF","19","SAS","28","408",".535","5.5",NA,".953",".523",".256",".140",".035",".047",NA,".561",".711",".409",".250",".667",".000",NA,".739","",NA,".151","12",NA,".750",".000",NA,"0","0"
"27","Harrison Barnes","PF","30","SAC","82","2662",".473","13.6",NA,".554",".255",".230",".053",".008",".446",NA,".553",".713",".407",".429",".333",".374",NA,".570",".924",NA,".062","46",NA,".365",".395",NA,"2","0"
"28","Scottie Barnes","SF","21","TOR","77","2678",".456","10.7",NA,".780",".275",".317",".096",".082",".220",NA,".505",".685",".450",".296",".361",".281",NA,".485",".841",NA,".086","82",NA,".339",".316",NA,"4","0"
"29","RJ Barrett","SG","22","NYK","73","2475",".434","11.5",NA,".668",".299",".287",".060",".023",".332",NA,".495",".642",".401",".300",".259",".310",NA,".424",".926",NA,".029","29",NA,".290",".319",NA,"0","0"
"30","Will Barton","SG","32","TOT","56","993",".379","17.6",NA,".505",".118",".192",".093",".096",".495",NA,".391",".581",".300",".324",".400",".367",NA,".444",".727",NA,".022","7",NA,".183",".515",NA,"2","0"
"30","Will Barton","SG","32","WAS","40","782",".386","17.7",NA,".516",".116",".211",".091",".098",".484",NA,".395",".576",".300",".308",".464",".377",NA,".379",".750",NA,".025","6",NA,".181",".480",NA,"1","0"
"30","Will Barton","SG","32","TOR","16","211",".354","17.0",NA,".468",".127",".127",".101",".089",".532",NA,".378",".600",".300",".375",".143",".333",NA,".714",".643",NA,".013","1",NA,".190",".625",NA,"1","0"
"31","Charles Bassey","C","22","SAS","35","508",".644","5.3",NA,".941",".548",".267",".096",".030",".059",NA,".661",".757",".556",".462",".500",".375",NA,".643",".667",NA,".178","22",NA,".250",".000",NA,"0","0"
"32","Keita Bates-Diop","PF","27","SAS","67","1452",".508","10.4",NA,".695",".340",".303",".047",".004",".305",NA,".557",".696",".440",".364",".000",".394",NA,".650",".982",NA,".039","15",NA,".430",".377",NA,"0","0"
"33","Nicolas Batum","PF","34","LAC","78","1709",".420","21.6",NA,".168",".094",".039",".016",".018",".832",NA,".563",".694",".533",".333",".143",".391",NA,".611",".992",NA,".024","8",NA,".391",".435",NA,"1","0"
"34","Darius Bazley","C","22","TOT","43","616",".454","9.9",NA,".710",".448",".175",".071",".016",".290",NA,".485",".598",".281",".385",".000",".377",NA,".794",".950",NA,".186","30",NA,".358",".474",NA,"0","0"
"34","Darius Bazley","C","22","OKC","36","555",".449","9.8",NA,".715",".468",".158",".070",".019",".285",NA,".469",".554",".280",".455",".000",".400",NA,".792",".944",NA,".171","23",NA,".378",".471",NA,"0","0"
"34","Darius Bazley","C","22","PHO","7","61",".480","10.7",NA,".680",".320",".280",".080",".000",".320",NA,".588","1.000",".286",".000","",".250",NA,".800","1.000",NA,".280","7",NA,".250",".500",NA,"0","0"
"35","Bradley Beal","SG","29","WAS","50","1673",".506","12.9",NA,".751",".197",".256",".164",".133",".249",NA,".552",".786",".462",".472",".479",".365",NA,".401",".713",NA,".016","14",NA,".201",".364",NA,"0","0"
"36","Malik Beasley","SG","26","TOT","81","2093",".395","21.0",NA,".298",".036",".131",".073",".058",".702",NA,".484",".706",".528",".353",".407",".357",NA,".511",".855",NA,".006","4",NA,".167",".373",NA,"3","0"
"36","Malik Beasley","SG","26","UTA","55","1472",".396","21.1",NA,".296",".028",".135",".070",".063",".704",NA,".485",".632",".511",".404",".452",".359",NA,".500",".817",NA,".006","2",NA,".185",".356",NA,"3","0"
"36","Malik Beasley","SG","26","LAL","26","621",".392","20.7",NA,".302",".056",".123",".078",".045",".698",NA,".481",".800",".576",".238",".250",".353",NA,".538",".955",NA,".007","2",NA,".123",".435",NA,"0","0"
"37","MarJon Beauchamp","SF","22","MIL","52","701",".395","17.5",NA,".416",".210",".095",".041",".070",".584",NA,".485",".667",".261",".500",".235",".331",NA,".551",".872",NA,".058","13",NA,".387",".345",NA,"1","0"
"38","Dāvis Bertāns","PF","30","DAL","45","492",".431","23.4",NA,".119",".081",".025",".006",".006",".881",NA,".737",".769",".500","1.000","1.000",".390",NA,".929",".982",NA,".031","4",NA,".220",".452",NA,"1","0"
"39","Patrick Beverley","SG-PG","34","TOT","67","1816",".400","18.7",NA,".336",".122",".181",".022",".011",".664",NA,".529",".636",".446",".500",".750",".335",NA,".359",".875",NA,".003","1",NA,".335",".350",NA,"2","0"
"39","Patrick Beverley","SG","34","LAL","45","1211",".402","18.6",NA,".344",".104",".199",".029",".012",".656",NA,".506",".640",".438",".429",".667",".348",NA,".357",".855",NA,".004","1",NA,".323",".412",NA,"0","0"
"39","Patrick Beverley","PG","34","CHI","22","605",".395","18.9",NA,".319",".160",".143",".008",".008",".681",NA,".579",".632",".471","1.000","1.000",".309",NA,".364",".920",NA,".000","0",NA,".358",".241",NA,"2","0"
"40","Saddiq Bey","SF","23","TOT","77","2129",".422","15.6",NA,".500",".218",".177",".050",".049",".500",NA,".483",".643",".399",".286",".268",".361",NA,".381",".894",NA,".036","30",NA,".347",".407",NA,"6","0"
"40","Saddiq Bey","SF","23","DET","52","1500",".404","15.9",NA,".517",".203",".201",".061",".051",".483",NA,".460",".626",".402",".243",".290",".345",NA,".333",".921",NA,".026","16",NA,".290",".424",NA,"5","0"
"40","Saddiq Bey","SF","23","ATL","25","629",".470","14.8",NA,".457",".257",".113",".022",".043",".543",NA,".552",".678",".385",".600",".200",".400",NA,".500",".840",NA,".061","14",NA,".480",".383",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"41","Khem Birch","C","30","TOR","20","162",".594","6.5",NA,".938",".375",".469",".063",".031",".063",NA,".600",".833",".467",".500",".000",".500",NA,".944","1.000",NA,".250","8",NA,"1.000",".500",NA,"0","0"
"42","Goga Bitadze","C","23","TOT","38","457",".552","7.8",NA,".792",".496",".272",".016",".008",".208",NA,".636",".758",".471",".000",".000",".231",NA,".635",".833",NA,".152","18",NA,".038",".000",NA,"0","0"
"42","Goga Bitadze","C","23","IND","21","202",".519","9.5",NA,".731",".500",".173",".038",".019",".269",NA,".605",".731",".444",".000",".000",".286",NA,".739","1.000",NA,".135","6",NA,".000","",NA,"0","0"
"42","Goga Bitadze","C","23","ORL","17","255",".575","6.6",NA,".836",".493",".342",".000",".000",".164",NA,".656",".778",".480","","",".167",NA,".575",".500",NA,".164","12",NA,".083",".000",NA,"0","0"
"43","Bismack Biyombo","C","30","PHO","61","874",".578","4.4",NA,"1.000",".417",".490",".092",".000",".000",NA,".578",".814",".406",".421","","",NA,".824","",NA,".214","42",NA,"","",NA,"0","0"
"44","Buddy Boeheim","SF","23","DET","10","90",".185","24.0",NA,".074",".000",".037",".037",".000",".926",NA,".500","","1.000",".000","",".160",NA,".000","1.000",NA,".000","0",NA,".440",".273",NA,"0","0"
"45","Bogdan Bogdanović","SG","30","ATL","54","1508",".447","18.8",NA,".411",".087",".098",".131",".090",".589",NA,".506",".642",".567",".475",".345",".406",NA,".449",".801",NA,".003","2",NA,".206",".392",NA,"0","0"
