"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"87","Julian Champagnie","SF","21","PHI","2","7",".000","20.3",NA,".500",".000",".000",".000",".500",".500",NA,".000","","","",".000",".000",NA,"","",NA,".000","0",NA,"1.000",".000",NA,"0","0"
"87","Julian Champagnie","SF","21","SAS","15","313",".461","17.9",NA,".367",".172",".125",".031",".039",".633",NA,".553",".636",".438",".500",".600",".407",NA,".846","1.000",NA,".031","3",NA,".247",".450",NA,"0","0"
"88","Justin Champagnie","SF","21","TOT","5","34",".333","11.2",NA,".667",".133",".533",".000",".000",".333",NA,".400",".500",".375","","",".200",NA,".500","1.000",NA,".000","0",NA,".400",".000",NA,"0","0"
"88","Justin Champagnie","SF","21","TOR","3","11","1.000","3.7",NA,"1.000",".333",".667",".000",".000",".000",NA,"1.000","1.000","1.000","","","",NA,".667","",NA,".000","0",NA,"","",NA,"0","0"
"88","Justin Champagnie","SF","21","BOS","2","23",".167","13.1",NA,".583",".083",".500",".000",".000",".417",NA,".143",".000",".167","","",".200",NA,".000","1.000",NA,".000","0",NA,".400",".000",NA,"0","0"
"89","Kennedy Chandler","PG","20","MEM","36","281",".422","8.7",NA,".819",".361",".361",".072",".024",".181",NA,".485",".633",".367",".333",".500",".133",NA,".424","1.000",NA,".048","2",NA,".133",".000",NA,"0","0"
"90","Max Christie","SG","19","LAL","41","512",".415","18.0",NA,".415",".113",".132",".085",".085",".585",NA,".409",".417",".429",".333",".444",".419",NA,".556",".962",NA,".038","3",NA,".435",".370",NA,"0","0"
"91","Josh Christopher","SG","21","HOU","64","786",".465","11.9",NA,".729",".222",".289",".188",".030",".271",NA,".550",".685",".537",".452",".300",".236",NA,".348",".762",NA,".082","24",NA,".191",".235",NA,"0","0"
"92","Brandon Clarke","PF","26","MEM","56","1090",".656","5.1",NA,".983",".496",".318",".146",".023",".017",NA,".665",".792",".568",".451",".625",".167",NA,".768","1.000",NA,".158","52",NA,"1.000",".167",NA,"0","0"
"93","Jordan Clarkson","SG","30","UTA","61","1988",".444","15.7",NA,".555",".109",".301",".130",".016",".445",NA,".530",".688",".510",".470",".313",".338",NA,".215",".748",NA,".016","12",NA,".120",".400",NA,"3","0"
"94","Nic Claxton","C","23","BRK","76","2271",".705","2.7",NA,".997",".671",".303",".022",".000",".003",NA,".708",".805",".511",".462","",".000",NA,".763","",NA,".346","191",NA,"1.000",".000",NA,"0","0"
"95","Amir Coffey","SF","25","LAC","50","625",".386","12.1",NA,".724",".172",".366",".124",".062",".276",NA,".429",".600",".377",".389",".333",".275",NA,".600","1.000",NA,".041","5",NA,".450",".222",NA,"1","0"
"96","John Collins","PF","25","ATL","71","2130",".508","12.0",NA,".661",".290",".207",".109",".045",".339",NA,".619",".795",".459",".481",".500",".292",NA,".775",".943",NA,".113","73",NA,".400",".302",NA,"0","0"
"97","Zach Collins","C","25","SAS","63","1441",".518","11.1",NA,".732",".301",".297",".082",".051",".268",NA,".571",".679",".540",".378",".429",".374",NA,".581","1.000",NA,".044","21",NA,".061",".222",NA,"1","0"
"98","Chance Comanche","C","26","POR","1","21",".600","12.7",NA,"1.000",".400",".000",".000",".600",".000",NA,".600",".500","","",".667","",NA,".667","",NA,".400","1",NA,"","",NA,"0","0"
"99","Mike Conley","PG","35","TOT","67","2029",".428","18.3",NA,".425",".084",".202",".108",".031",".575",NA,".486",".608",".431",".500",".474",".385",NA,".381",".696",NA,".000","0",NA,".157",".545",NA,"2","0"
"99","Mike Conley","PG","35","UTA","43","1276",".408","18.3",NA,".432",".085",".213",".099",".035",".568",NA,".469",".531",".475",".459",".308",".362",NA,".368",".636",NA,".000","0",NA,".136",".586",NA,"2","0"
"99","Mike Conley","PG","35","MIN","24","753",".460","18.3",NA,".413",".081",".183",".123",".026",".587",NA,".515",".737",".349",".552",".833",".420",NA,".400",".776",NA,".000","0",NA,".188",".500",NA,"0","0"
"100","Pat Connaughton","SF","30","MIL","61","1443",".392","20.3",NA,".235",".152",".071",".005",".007",".765",NA,".566",".672",".333",".500",".667",".339",NA,".750",".982",NA,".019","8",NA,".339",".358",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"101","Xavier Cooks","PF","27","WAS","10","126",".607","6.0",NA,".964",".393",".536",".036",".000",".036",NA,".630",".727",".533","1.000","",".000",NA,".647","",NA,".107","3",NA,".000","",NA,"1","0"
"102","Robert Covington","PF","32","LAC","48","779",".445","16.8",NA,".406",".205",".157",".031",".013",".594",NA,".516",".702",".361",".143",".333",".397",NA,".750",".981",NA,".035","7",NA,".147",".450",NA,"0","0"
"103","Torrey Craig","PF","32","PHO","79","1948",".456","15.0",NA,".494",".266",".138",".062",".028",".506",NA,".518",".699",".319",".258",".357",".395",NA,".570",".990",NA,".044","17",NA,".474",".450",NA,"1","0"
"104","Jae Crowder","PF","32","MIL","18","340",".479","18.8",NA,".415",".074",".160",".128",".053",".585",NA,".538",".857",".600",".333",".400",".436",NA,".714","1.000",NA,".011","1",NA,".273",".467",NA,"0","0"
"105","Jarrett Culver","SF","23","ATL","10","137",".395","11.3",NA,".721",".395",".140",".047",".140",".279",NA,".516",".647",".333",".500",".333",".083",NA,".375","1.000",NA,".047","2",NA,".250",".333",NA,"0","0"
"106","Cade Cunningham","PG","21","DET","12","400",".415","14.2",NA,".728",".183",".223",".147",".174",".272",NA,".466",".561",".420",".394",".487",".279",NA,".158",".588",NA,".013","3",NA,".066",".250",NA,"1","0"
"107","Seth Curry","SG","32","BRK","61","1211",".463","19.8",NA,".483",".058",".067",".114",".245",".517",NA,".525",".615",".467",".588",".491",".405",NA,".526",".809",NA,".000","0",NA,".254",".424",NA,"0","0"
"108","Stephen Curry","PG","34","GSW","56","1941",".493","18.8",NA,".436",".107",".191",".063",".076",".564",NA,".579",".760",".551",".493",".465",".427",NA,".371",".593",NA,".000","0",NA,".097",".597",NA,"9","1"
"109","Dyson Daniels","PG","19","NOP","59","1042",".418","13.4",NA,".587",".303",".221",".048",".010",".413",NA,".492",".635",".348",".300",".000",".314",NA,".550",".889",NA,".029","6",NA,".291",".360",NA,"3","0"
"110","Anthony Davis","C","29","LAL","56","1904",".563","8.2",NA,".923",".348",".323",".134",".117",".077",NA,".589",".788",".514",".442",".372",".257",NA,".625","1.000",NA,".156","138",NA,".149",".364",NA,"0","0"
"111","Johnny Davis","SG","20","WAS","28","423",".386","15.8",NA,".591",".140",".187",".164",".099",".409",NA,".485",".708",".438",".393",".412",".243",NA,".633","1.000",NA,".012","2",NA,".271",".263",NA,"0","0"
"112","Terence Davis","SG","25","SAC","64","841",".423","18.8",NA,".332",".148",".118",".033",".030",".668",NA,".537",".685",".442",".333",".455",".366",NA,".508",".910",NA,".038","12",NA,".243",".390",NA,"1","0"
"113","JD Davison","SG","20","BOS","12","66",".421","15.9",NA,".632",".053",".211",".316",".053",".368",NA,".500","1.000",".500",".333","1.000",".286",NA,".500","1.000",NA,".000","0",NA,".000","",NA,"0","0"
"114","Darius Days","SF","23","HOU","4","25",".417","20.5",NA,".167",".167",".000",".000",".000",".833",NA,"1.000","1.000","","","",".300",NA,".500","1.000",NA,".000","0",NA,".500",".400",NA,"0","0"
"115","Dewayne Dedmon","C","33","TOT","38","426",".510","10.1",NA,".742",".351",".311",".060",".020",".258",NA,".580",".660",".511",".444",".667",".308",NA,".738",".917",NA,".073","7",NA,".128",".200",NA,"0","0"
"115","Dewayne Dedmon","C","33","MIA","30","350",".496","10.8",NA,".713",".341",".287",".070",".016",".287",NA,".576",".636",".541",".444",".500",".297",NA,".755","1.000",NA,".062","4",NA,".135",".200",NA,"0","0"
"115","Dewayne Dedmon","C","33","PHI","8","76",".591","6.4",NA,".909",".409",".455",".000",".045",".091",NA,".600",".778",".400","","1.000",".500",NA,".667",".000",NA,".136","3",NA,".000","",NA,"0","0"
"116","Matthew Dellavedova","PG","32","SAC","32","213",".340","15.9",NA,".460",".080",".200",".120",".040",".540",NA,".348",".750",".300",".167",".500",".333",NA,".250",".778",NA,".000","0",NA,".148",".500",NA,"0","0"
"117","DeMar DeRozan","SF","33","CHI","74","2682",".504","13.7",NA,".891",".165",".125",".263",".338",".109",NA,".526",".735",".491",".499",".459",".324",NA,".244",".848",NA,".023","29",NA,".310",".318",NA,"1","0"
"118","Moussa Diabaté","C","21","LAC","22","195",".511","4.0",NA,".957",".574",".340",".043",".000",".043",NA,".511",".556",".500",".000","",".500",NA,".478","1.000",NA,".149","7",NA,"1.000",".500",NA,"0","0"
"119","Mamadi Diakite","C","26","CLE","22","176",".480","13.9",NA,".580",".240",".200",".120",".020",".420",NA,".586",".833",".400",".333","1.000",".333",NA,".824",".857",NA,".080","4",NA,".429",".222",NA,"0","0"
"120","Hamidou Diallo","SF","24","DET","56","996",".573","6.7",NA,".944",".432",".291",".125",".069",".056",NA,".593",".765",".459",".426",".462",".238",NA,".624","1.000",NA,".139","48",NA,".524",".273",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"121","Gorgui Dieng","C","33","SAS","31","358",".385","19.3",NA,".359",".137",".060",".111",".051",".641",NA,".571",".750",".429",".462",".500",".280",NA,".667",".905",NA,".051","6",NA,".093",".429",NA,"0","0"
"122","Ousmane Dieng","PF","19","OKC","39","569",".420","16.2",NA,".459",".210",".188",".033",".028",".541",NA,".602",".789",".500",".167",".400",".265",NA,".780",".962",NA,".099","17",NA,".265",".308",NA,"2","0"
"123","Spencer Dinwiddie","SG-PG","29","TOT","79","2725",".438","15.7",NA,".533",".186",".206",".092",".050",".467",NA,".498",".646",".417",".423",".423",".369",NA,".118",".602",NA,".021","17",NA,".182",".506",NA,"1","0"
"123","Spencer Dinwiddie","SG","29","DAL","53","1808",".455","16.0",NA,".509",".184",".197",".079",".048",".491",NA,".504",".641",".401",".473",".455",".405",NA,".135",".630",NA,".023","11",NA,".211",".556",NA,"1","0"
"123","Spencer Dinwiddie","PG","29","BRK","26","917",".404","15.0",NA,".581",".188",".222",".118",".053",".419",NA,".488",".657",".443",".357",".368",".289",NA,".089",".512",NA,".017","6",NA,".114",".294",NA,"0","0"
"124","Donte DiVincenzo","SG","26","GSW","72","1894",".435","19.7",NA,".300",".124",".131",".026",".019",".700",NA,".525",".567",".563",".286",".300",".397",NA,".612",".927",NA,".017","9",NA,".228",".419",NA,"1","0"
"125","Luka Dončić","PG","23","DAL","66","2391",".496","14.7",NA,".627",".176",".252",".145",".054",".373",NA,".588",".745",".578",".510",".333",".342",NA,".131",".216",NA,".010","12",NA,".041",".273",NA,"8","0"
"126","Tyler Dorsey","SF","26","DAL","3","8",".800","21.0",NA,".600",".000",".000",".000",".600",".400",NA,"1.000","","","","1.000",".500",NA,".667","1.000",NA,".000","0",NA,".500","1.000",NA,"0","0"
"127","Luguentz Dort","SF","23","OKC","74","2272",".388","14.2",NA,".532",".301",".174",".032",".024",".468",NA,".440",".521",".309",".357",".476",".330",NA,".510",".889",NA,".040","29",NA,".232",".411",NA,"1","0"
"128","Ayo Dosunmu","SG","23","CHI","80","2098",".493","11.2",NA,".668",".411",".147",".070",".040",".332",NA,".583",".679",".429",".500",".304",".312",NA,".550","1.000",NA,".018","9",NA,".466",".330",NA,"0","0"
"129","Devon Dotson","PG","23","WAS","6","53",".100","16.5",NA,".600",".000",".300",".100",".200",".400",NA,".000","",".000",".000",".000",".250",NA,"","1.000",NA,".000","0",NA,".250",".000",NA,"0","0"
"130","Jeff Dowtin","PG","25","TOR","25","259",".439","13.5",NA,".719",".175",".263",".123",".158",".281",NA,".488",".700",".600",".000",".444",".313",NA,".450",".800",NA,".035","2",NA,".500",".375",NA,"0","0"
"131","PJ Dozier","SF","26","SAC","16","79",".303","17.9",NA,".515",".152",".091",".121",".152",".485",NA,".471",".800",".333",".000",".600",".125",NA,".375","1.000",NA,".000","0",NA,".313",".200",NA,"1","0"
"132","Goran Dragić","PG","36","TOT","58","870",".421","15.8",NA,".567",".185",".128",".179",".075",".433",NA,".468",".613",".372",".350",".560",".359",NA,".393",".904",NA,".000","0",NA,".186",".481",NA,"0","0"
"132","Goran Dragić","PG","36","CHI","51","787",".425","15.5",NA,".572",".191",".130",".181",".070",".428",NA,".480",".632",".359",".352",".619",".352",NA,".390",".911",NA,".000","0",NA,".195",".480",NA,"0","0"
"132","Goran Dragić","PG","36","MIL","7","83",".389","17.7",NA,".528",".139",".111",".167",".111",".472",NA,".368",".400",".500",".333",".250",".412",NA,".429",".857",NA,".000","0",NA,".118",".500",NA,"0","0"
"133","Andre Drummond","C","29","CHI","67","849",".606","2.3",NA,".989",".763",".215",".011",".000",".011",NA,".613",".660",".475",".000","",".000",NA,".614","",NA,".277","66",NA,".333",".000",NA,"0","0"
"134","Chris Duarte","SF","25","IND","46","897",".369","17.2",NA,".477",".183",".099",".096",".090",".523",NA,".428",".541",".485",".250",".300",".316",NA,".456",".782",NA,".015","4",NA,".328",".333",NA,"3","0"
"135","David Duke Jr.","SG","23","BRK","23","228",".462","7.1",NA,".846",".487",".269",".064",".026",".154",NA,".530",".605",".429",".200","1.000",".083",NA,".543","1.000",NA,".051","3",NA,".500",".000",NA,"0","0"
"136","Kris Dunn","PG","28","UTA","22","568",".537","9.3",NA,".833",".139",".583",".102",".009",".167",NA,".550",".767",".524",".409",".500",".472",NA,".162",".824",NA,".023","4",NA,".139",".400",NA,"0","0"
"137","Kevin Durant","PF","34","TOT","47","1672",".560","15.1",NA,".733",".110",".162",".292",".168",".267",NA,".617",".821",".607",".591",".538",".404",NA,".464",".656",NA,".044","37",NA,".078",".556",NA,"0","0"
"137","Kevin Durant","PF","34","BRK","39","1403",".559","14.9",NA,".743",".123",".163",".292",".165",".257",NA,".622",".811",".608",".603",".529",".376",NA,".457",".592",NA,".049","35",NA,".063",".417",NA,"0","0"
"137","Kevin Durant","PF","34","PHO","8","269",".570","16.6",NA,".680",".039",".156",".297",".188",".320",NA,".586","1.000",".600",".526",".583",".537",NA,".510",".864",NA,".016","2",NA,".146",".833",NA,"0","0"
"138","Jalen Duren","C","19","DET","67","1670",".648","3.3",NA,".995",".606",".339",".048",".003",".005",NA,".652",".747",".511",".474",".000",".000",NA,".667","",NA,".412","153",NA,".500",".000",NA,"0","0"
"139","Tari Eason","PF","21","HOU","82","1767",".448","9.2",NA,".739",".433",".262",".029",".015",".261",NA,".486",".619",".318",".211",".100",".343",NA,".473",".983",NA,".126","64",NA,".285",".367",NA,"2","0"
"140","Anthony Edwards","SG","21","MIN","79","2842",".459","13.9",NA,".625",".295",".154",".075",".102",".375",NA,".513",".674",".376",".383",".350",".369",NA,".348",".516",NA,".044","59",NA,".097",".446",NA,"3","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"141","Kessler Edwards","SF","22","TOT","36","385",".387","17.1",NA,".409",".204",".118",".022",".065",".591",NA,".500",".737",".182","1.000",".167",".309",NA,".632","1.000",NA,".054","5",NA,".382",".333",NA,"0","0"
"141","Kessler Edwards","SF","22","BRK","14","79",".250","16.6",NA,".500",".208",".125",".000",".167",".500",NA,".333",".800",".000","",".000",".167",NA,".500","1.000",NA,".125","3",NA,".417",".000",NA,"0","0"
"141","Kessler Edwards","SF","22","SAC","22","306",".435","17.3",NA,".377",".203",".116",".029",".029",".623",NA,".577",".714",".250","1.000",".500",".349",NA,".667","1.000",NA,".029","2",NA,".372",".438",NA,"0","0"
"142","Keon Ellis","SG","23","SAC","16","71",".438","22.2",NA,".250",".000",".125",".063",".063",".750",NA,".250","",".500",".000",".000",".500",NA,"1.000",".667",NA,".000","0",NA,".167",".500",NA,"0","0"
"143","Joel Embiid","C","28","PHI","66","2284",".548","11.2",NA,".849",".269",".196",".242",".133",".151",NA,".587",".807",".435",".514",".489",".330",NA,".589",".879",NA,".065","74",NA,".040",".250",NA,"4","0"
"144","Drew Eubanks","C","25","POR","78","1584",".641","5.8",NA,".946",".491",".314",".108",".024",".054",NA,".655",".756",".562",".500",".375",".389",NA,".773","1.000",NA,".263","74",NA,".167",".000",NA,"0","0"
"145","Bruno Fernando","C","24","TOT","39","405",".527","4.2",NA,".964",".518",".411",".018",".018",".036",NA,".546",".672",".413",".000",".500",".000",NA,".695","",NA,".304","29",NA,".500",".000",NA,"0","0"
"145","Bruno Fernando","C","24","HOU","31","364",".516","3.7",NA,".989",".538",".419",".011",".022",".011",NA,".522",".680",".333",".000",".500",".000",NA,".688","",NA,".344","27",NA,"1.000",".000",NA,"0","0"
"145","Bruno Fernando","C","24","ATL","8","41",".579","7.0",NA,".842",".421",".368",".053",".000",".158",NA,".688",".625",".857",".000","",".000",NA,".727","",NA,".105","2",NA,".333",".000",NA,"0","0"
"146","Dorian Finney-Smith","PF","29","TOT","66","2009",".391","17.8",NA,".325",".218",".088",".012",".008",".675",NA,".503",".642",".227",".000",".500",".337",NA,".671",".974",NA,".084","33",NA,".382",".380",NA,"2","0"
"146","Dorian Finney-Smith","PF","29","DAL","40","1288",".416","18.4",NA,".300",".200",".077",".013",".010",".700",NA,".559",".758",".167",".000",".333",".355",NA,".692",".987",NA,".077","21",NA,".401",".425",NA,"2","0"
"146","Dorian Finney-Smith","PF","29","BRK","26","721",".351","16.8",NA,".366",".246",".105",".010",".005",".634",NA,".429",".489",".300",".000","1.000",".306",NA,".633",".946",NA,".094","12",NA,".347",".286",NA,"0","0"
"147","Malachi Flynn","PG","24","TOR","53","691",".360","18.3",NA,".450",".120",".145",".083",".103",".550",NA,".367",".517",".286",".500",".200",".353",NA,".375",".872",NA,".000","0",NA,".158",".476",NA,"0","0"
"148","Simone Fontecchio","SF","27","UTA","52","766",".369","18.5",NA,".388",".106",".157",".067",".058",".612",NA,".430",".545",".327",".524",".389",".330",NA,".731",".952",NA,".042","10",NA,".225",".395",NA,"0","0"
"149","Bryn Forbes","SG","29","MIN","25","268",".361","18.9",NA,".446",".060",".181",".072",".133",".554",NA,".432",".600",".400",".167",".545",".304",NA,".813",".857",NA,".000","0",NA,".261",".417",NA,"1","0"
"150","Trent Forrest","SG","24","ATL","23","277",".417","6.6",NA,".967",".250",".617",".100",".000",".033",NA,".431",".333",".459",".500","",".000",NA,".400","",NA,".017","1",NA,".500",".000",NA,"0","0"
"151","Michael Foster Jr.","PF","20","PHI","1","1","","",NA,"","","","","","",NA,"","","","","","",NA,"","",NA,"","0",NA,"","",NA,"0","0"
"152","Evan Fournier","SG","30","NYK","27","459",".337","20.4",NA,".313",".072",".090",".102",".048",".687",NA,".404",".500",".467",".353",".250",".307",NA,".476",".857",NA,".000","0",NA,".237",".333",NA,"1","0"
"153","De'Aaron Fox","PG","25","SAC","73","2435",".512","13.5",NA,".724",".171",".251",".194",".108",".276",NA,".584",".803",".569",".488",".444",".324",NA,".160",".613",NA,".033","41",NA,".128",".255",NA,"0","0"
"154","Markelle Fultz","PG","24","ORL","60","1778",".514","9.8",NA,".872",".299",".280",".178",".115",".128",NA,".544",".685",".500",".438",".449",".310",NA,".323",".963",NA,".054","30",NA,".368",".375",NA,"2","0"
"155","Wenyen Gabriel","C","25","LAL","68","1024",".596","6.1",NA,".862",".523",".312",".019",".008",".138",NA,".647",".713",".568",".200",".500",".278",NA,".676",".900",NA,".092","21",NA,".528",".263",NA,"1","0"
"156","Daniel Gafford","C","24","WAS","78","1604",".732","3.2",NA,"1.000",".592",".367",".025",".015",".000",NA,".732",".846",".566",".800",".167","",NA,".668","",NA,".362","135",NA,"","",NA,"0","0"
"157","Darius Garland","PG","23","CLE","69","2447",".462","14.8",NA,".635",".170",".226",".128",".102",".365",NA,".492",".615",".451",".521",".357",".410",NA,".286",".568",NA,".004","4",NA,".087",".389",NA,"1","0"
"158","Usman Garuba","C","20","HOU","75","970",".486","9.9",NA,".667",".452",".209",".006",".000",".333",NA,".525",".625",".324",".000","",".407",NA,".613","1.000",NA,".062","11",NA,".492",".414",NA,"0","0"
"159","Luka Garza","C","24","MIN","28","243",".543","11.5",NA,".664",".345",".250",".060",".009",".336",NA,".636",".825",".414",".571",".000",".359",NA,".510","1.000",NA,".017","2",NA,".077",".333",NA,"0","0"
"160","Rudy Gay","PF","36","UTA","56","816",".380","17.3",NA,".547",".105",".171",".157",".115",".453",NA,".484",".667",".429",".422",".485",".254",NA,".526","1.000",NA,".045","11",NA,".338",".318",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"161","Paul George","SF","32","LAC","56","1939",".457","16.7",NA,".576",".145",".140",".132",".157",".424",NA,".521",".699",".553",".421",".411",".371",NA,".322",".614",NA,".042","36",NA,".134",".491",NA,"4","0"
"162","Taj Gibson","C","37","WAS","49","480",".520","10.3",NA,".808",".288",".280",".144",".096",".192",NA,".564",".806",".429",".500",".333",".333",NA,".667","1.000",NA,".064","8",NA,".458",".455",NA,"0","0"
"163","Josh Giddey","PF","20","OKC","76","2367",".482","9.6",NA,".791",".301",".381",".089",".021",".209",NA,".524",".646",".455",".455",".304",".325",NA,".363",".934",NA,".011","12",NA,".128",".400",NA,"1","0"
"164","Shai Gilgeous-Alexander","PG","24","OKC","68","2416",".510","9.8",NA,".878",".283",".276",".246",".073",".122",NA,".533",".678",".438",".512",".396",".345",NA,".201",".310",NA,".039","50",NA,".101",".235",NA,"1","0"
"165","Anthony Gill","PF","30","WAS","59","624",".538","8.7",NA,".780",".311",".409",".053",".008",".220",NA,".650",".780",".593",".429",".000",".138",NA,".672","1.000",NA,".045","5",NA,".621",".167",NA,"0","0"
"166","Jacob Gilyard","PG","24","MEM","1","41",".333","24.4",NA,".000",".000",".000",".000",".000","1.000",NA,"","","","","",".333",NA,"","1.000",NA,".000","0",NA,".333",".000",NA,"0","0"
"167","Rudy Gobert","C","30","MIN","70","2148",".659","2.5",NA,".995",".778",".190",".022",".004",".005",NA,".663",".748",".365",".333",".000",".000",NA,".744","",NA,".388","200",NA,".000","",NA,"2","0"
"168","Jordan Goodwin","PG","24","WAS","62","1106",".448","14.0",NA,".666",".187",".255",".127",".096",".334",NA,".511",".712",".444",".444",".382",".322",NA,".242",".868",NA,".025","5",NA,".212",".520",NA,"0","0"
"169","Aaron Gordon","PF","27","DEN","68","2055",".564","8.8",NA,".773",".481",".180",".063",".035",".227",NA,".628",".779",".394",".292",".333",".347",NA,".618",".733",NA,".260","178",NA,".312",".259",NA,"4","0"
"170","Eric Gordon","SG","34","TOT","69","1965",".446","17.2",NA,".455",".164",".243",".041",".006",".545",NA,".535",".710",".453",".370",".250",".371",NA,".390",".811",NA,".002","1",NA,".084",".467",NA,"1","0"
"170","Eric Gordon","SG","34","HOU","47","1418",".439","16.5",NA,".487",".163",".274",".042",".008",".513",NA,".536",".744",".458",".300",".250",".347",NA,".320",".765",NA,".002","1",NA,".078",".526",NA,"1","0"
"170","Eric Gordon","SG","34","LAC","22","547",".463","19.0",NA,".366",".166",".160",".040",".000",".634",NA,".531",".621",".429",".571","",".423",NA,".647",".894",NA,".000","0",NA,".099",".364",NA,"0","0"
"171","Devonte' Graham","PG","27","TOT","73","1338",".374","22.5",NA,".216",".058",".072",".035",".051",".784",NA,".452",".600",".355",".533",".364",".352",NA,".310",".798",NA,".000","0",NA,".104",".429",NA,"3","0"
"171","Devonte' Graham","PG","27","NOP","53","811",".368","23.0",NA,".177",".056",".056",".030",".035",".823",NA,".463",".462",".308",".571",".625",".347",NA,".421",".848",NA,".000","0",NA,".105",".350",NA,"2","0"
"171","Devonte' Graham","PG","27","SAS","20","527",".380","22.0",NA,".260",".060",".090",".040",".070",".740",NA,".442",".750",".389",".500",".214",".358",NA,".217",".736",NA,".000","0",NA,".101",".533",NA,"1","0"
"172","Jerami Grant","PF","28","POR","63","2246",".475","13.9",NA,".607",".264",".141",".085",".103",".393",NA,".523",".680",".419",".397",".383",".401",NA,".569",".944",NA,".083","70",NA,".357",".375",NA,"0","0"
"173","RaiQuan Gray","PF","23","BRK","1","35",".500","11.5",NA,".583",".500",".083",".000",".000",".417",NA,".571",".667",".000","","",".400",NA,"1.000","1.000",NA,".000","0",NA,".400",".000",NA,"0","0"
"174","A.J. Green","SG","23","MIL","35","345",".424","23.7",NA,".160",".040",".016",".032",".072",".840",NA,".450",".400",".500",".500",".444",".419",NA,".778",".909",NA,".000","0",NA,".210",".409",NA,"0","0"
"175","Danny Green","SG","35","TOT","11","138",".449","21.4",NA,".245",".041",".061",".122",".020",".755",NA,".500",".500",".333",".500","1.000",".432",NA,".667","1.000",NA,".000","0",NA,".324",".417",NA,"0","0"
"175","Danny Green","SG","35","MEM","3","43",".273","20.6",NA,".273",".000",".091",".182",".000",".727",NA,".000","",".000",".000","",".375",NA,"","1.000",NA,".000","0",NA,".500",".250",NA,"0","0"
"175","Danny Green","SG","35","CLE","8","95",".500","21.6",NA,".237",".053",".053",".105",".026",".763",NA,".667",".500",".500",".750","1.000",".448",NA,".667","1.000",NA,".000","0",NA,".276",".500",NA,"0","0"
"176","Draymond Green","PF","32","GSW","73","2297",".527","10.3",NA,".724",".297",".363",".040",".023",".276",NA,".612",".709",".570",".474",".273",".305",NA,".852","1.000",NA,".051","21",NA,".298",".308",NA,"2","0"
"177","Jalen Green","SG","20","HOU","76","2602",".416","15.2",NA,".592",".202",".212",".079",".100",".408",NA,".471",".591",".406",".467",".368",".338",NA,".351",".572",NA,".046","53",NA,".128",".324",NA,"4","0"
"178","JaMychal Green","PF","32","GSW","57","797",".540","12.8",NA,".560",".345",".171",".016",".028",".440",NA,".667",".701",".674",".500",".286",".378",NA,".660","1.000",NA,".246","52",NA,".387",".372",NA,"0","0"
"179","Javonte Green","SF","29","CHI","32","480",".565","9.8",NA,".676",".481",".185",".000",".009",".324",NA,".658",".750",".450","",".000",".371",NA,".667","1.000",NA,".222","24",NA,".457",".313",NA,"0","0"
"180","Jeff Green","PF","36","DEN","56","1091",".488","11.5",NA,".683",".302",".271",".067",".034",".317",NA,".580",".768",".427",".409",".364",".288",NA,".785",".900",NA,".146","43",NA,".365",".421",NA,"2","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"181","Josh Green","SG","22","DAL","60","1539",".537","13.1",NA,".558",".285",".199",".060",".013",".442",NA,".643",".780",".513",".435",".600",".402",NA,".664","1.000",NA,".068","25",NA,".698",".390",NA,"2","0"
